"","Fleet","FGroup","Fleet_global","Fleet_atl","Fleet_mz","Fleet_ewe"
"1","Dredges","bathydemersal30-90cm","Dredges_bathydemersal30-90cm",NA,NA,NA
"2","Dredges","bathydemersal<30cm","Dredges_bathydemersal<30cm",NA,NA,NA
"3","Dredges","bathydemersal>=90cm","Dredges_bathydemersal>=90cm",NA,NA,NA
"4","Dredges","bathypelagic30-90cm","Dredges_bathypelagic30-90cm",NA,NA,NA
"5","Dredges","bathypelagic<30cm","Dredges_bathypelagic<30cm",NA,NA,NA
"6","Dredges","bathypelagic>=90cm","Dredges_bathypelagic>=90cm",NA,NA,NA
"7","Dredges","benthopelagic30-90cm","Dredges_benthopelagic30-90cm",NA,NA,NA
"8","Dredges","benthopelagic<30cm","Dredges_benthopelagic<30cm",NA,NA,NA
"9","Dredges","benthopelagic>=90cm","Dredges_benthopelagic>=90cm",NA,NA,NA
"10","Dredges","cephalopods","Dredges_cephalopods",NA,NA,NA
"11","Dredges","demersal30-90cm","Dredges_demersal30-90cm",NA,NA,NA
"12","Dredges","demersal<30cm","Dredges_demersal<30cm",NA,NA,NA
"13","Dredges","demersal>=90cm","Dredges_demersal>=90cm",NA,NA,NA
"14","Dredges","demersalmollusc","Dredges_demersalmollusc",NA,NA,NA
"15","Dredges","flatfish<90cm","Dredges_flatfish<90cm",NA,NA,NA
"16","Dredges","lobsterscrab","Dredges_lobsterscrab",NA,NA,NA
"17","Dredges","pelagic30-90cm","Dredges_pelagic30-90cm",NA,NA,NA
"18","Dredges","pelagic<30cm","Dredges_pelagic<30cm",NA,NA,NA
"19","Dredges","pelagic>=90cm","Dredges_pelagic>=90cm",NA,NA,NA
"20","Dredges","rays<90cm","Dredges_rays<90cm",NA,NA,NA
"21","Dredges","rays>=90cm","Dredges_rays>=90cm",NA,NA,NA
"22","Dredges","reef-associated30-90cm","Dredges_reef-associated30-90cm",NA,NA,NA
"23","Dredges","reef-associated<30cm","Dredges_reef-associated<30cm",NA,NA,NA
"24","Dredges","shark>=90cm","Dredges_shark>=90cm",NA,NA,NA
"25","Dredges","shrimp","Dredges_shrimp",NA,NA,NA
"26","Falling_Gear","benthopelagic30-90cm","Falling_Gear_benthopelagic30-90cm",NA,NA,NA
"27","Falling_Gear","benthopelagic>=90cm","Falling_Gear_benthopelagic>=90cm",NA,NA,NA
"28","Falling_Gear","cephalopods","Falling_Gear_cephalopods",NA,NA,NA
"29","Falling_Gear","demersal30-90cm","Falling_Gear_demersal30-90cm",NA,NA,NA
"30","Falling_Gear","demersal<30cm","Falling_Gear_demersal<30cm",NA,NA,NA
"31","Falling_Gear","demersalmollusc","Falling_Gear_demersalmollusc",NA,NA,NA
"32","Falling_Gear","flatfish<90cm","Falling_Gear_flatfish<90cm",NA,NA,NA
"33","Falling_Gear","lobsterscrab","Falling_Gear_lobsterscrab",NA,NA,NA
"34","Falling_Gear","pelagic30-90cm","Falling_Gear_pelagic30-90cm",NA,NA,NA
"35","Falling_Gear","pelagic<30cm","Falling_Gear_pelagic<30cm",NA,NA,NA
"36","Falling_Gear","pelagic>=90cm","Falling_Gear_pelagic>=90cm",NA,NA,NA
"37","Falling_Gear","rays<90cm","Falling_Gear_rays<90cm",NA,NA,NA
"38","Falling_Gear","reef-associated<30cm","Falling_Gear_reef-associated<30cm",NA,NA,NA
"39","Falling_Gear","shrimp","Falling_Gear_shrimp",NA,NA,NA
"40","Gillnets","bathydemersal30-90cm","Gillnets_bathydemersal30-90cm",NA,NA,NA
"41","Gillnets","bathydemersal<30cm","Gillnets_bathydemersal<30cm",NA,NA,NA
"42","Gillnets","bathydemersal>=90cm","Gillnets_bathydemersal>=90cm",NA,NA,NA
"43","Gillnets","bathypelagic30-90cm","Gillnets_bathypelagic30-90cm",NA,NA,NA
