"","LME_FAO","no_war","partial_war","war","per_change_partial_vs_no_war","per_change_partial_vs_war"
"1","LME_1",674461980.792898,674461980.792898,674461980.792898,0,0
"2","LME_10",947438342.726865,947438342.726865,947438342.726865,0,0
"3","LME_11",29335.9611365311,24653.7017498128,24653.7017498128,18.9921149944707,0
"4","LME_12",601599813.093081,601599813.093081,622708437.996494,0,3.50874858070251
"5","LME_13",537.743181381375,304.385348616168,304.385348616168,76.6652645490741,0
"6","LME_14",160748088.925745,175080170.585363,175080170.585363,-8.18601079248442,0
"7","LME_15",164927639.513243,78433837.98487,78433837.98487,110.276130494924,0
"8","LME_16",765893938.905375,165583765.432826,165583765.432826,362.54168511229,0
"9","LME_17",65180580.4495187,203158463.220925,203158463.220925,-67.9163843749704,0
"10","LME_18",1046484999.13214,1046484999.13214,1046484999.13214,0,0
"11","LME_19",82027688.4585225,82027688.4585225,81578383.1461027,0,-0.547748352858955
"12","LME_2",1408262352.19096,1408262352.19096,1379860279.66986,0,-2.01681685780438
"13","LME_20",2621931205.15707,2621931205.15707,820906246.260672,0,-68.690778589231
"14","LME_21",691255875.694089,691255875.694089,596106663.437066,0,-13.7646876652562
"15","LME_22",18115643373.039,18115643373.039,18726376711.696,0,3.37130360805156
"16","LME_23",2762184522.18172,2762184522.18172,2621743003.28357,0,-5.08443653095356
"17","LME_24",8762859135.49936,8762859135.49936,9146610691.1148,0,4.37929618269019
"18","LME_25",611447675.702935,611447675.702935,573669571.406612,0,-6.17846886945671
"19","LME_26",7350165895.09505,7350165895.09505,7350165895.09505,0,0
"20","LME_27",165494971.97656,165494971.97656,165494971.97656,0,0
"21","LME_28",1492138501.81792,1492138501.81792,1492138501.81792,0,0
"22","LME_29",114349226.723625,114349226.723625,114349226.723625,0,0
"23","LME_3",7535397012.32303,7535397012.32303,7530381409.87808,0,-0.0665605599379292
"24","LME_30",195021793.943724,195021793.943724,195021793.943724,0,0
"25","LME_31",20831686.9983046,20831686.9983046,20831686.9983046,0,0
"26","LME_32",1814620675.1719,1814620675.1719,1814620675.1719,0,0
"27","LME_33",708433994.12368,708433994.12368,708433994.12368,0,0
"28","LME_34",2298491568.52588,2298491568.52588,2298491568.52588,0,0
"29","LME_35",1960220560.65668,1960220560.65668,1960220560.65668,0,0
"30","LME_36",1020267347.96991,1020267347.96991,1020267347.96991,0,0
"31","LME_37",318031669.430891,318031669.430891,318031669.430891,0,0
"32","LME_38",550702466.221911,550702466.221911,550702466.221911,0,0
"33","LME_39",656397.594449988,624432.687005747,624432.687005747,5.11903174023732,0
"34","LME_4",27211910.2491752,25821411.3475476,25821411.3475476,5.38506157898186,0
"35","LME_40",96826.7025425471,83275.6186749525,83275.6186749525,16.2725706313731,0
"36","LME_41",73342369594693.1,99572583.6195316,99572583.6195316,73657092.5008348,0
"37","LME_42",727456712.770241,724730131.477904,724730131.477904,0.376220219625323,0
"38","LME_43",561773812.100776,489955014.039925,489955014.039925,14.6582433086394,0
"39","LME_44",400174164.033668,354048108.832296,354048108.832296,13.0281885570587,0
"40","LME_45",245466284.773856,255440195.587291,255440195.587291,-3.90459723478684,0
"41","LME_46",269643577.203885,273170585.538087,273170585.538087,-1.29113767035138,0
"42","LME_47",3417988694.24959,3417988694.24959,3408109270.64906,0,-0.289042021032784
"43","LME_48",248186150.559549,398375812.247525,398375812.247525,-37.7004971362713,0
"44","LME_49",11260264915.4721,11260264915.4721,11337671959.7195,0,0.687435374109162
"45","LME_5",196302751.913249,196302751.913249,198339912.143981,0,1.03776447903896
"46","LME_50",7252895121.52467,7252895121.52467,7433168959.32326,0,2.48554314901898
"47","LME_51",1216846170.86661,1216846170.86661,1275994599.69893,0,4.86079754766346
"48","LME_52",1039208355.69979,1039208355.69979,930681710.152791,0,-10.4432037090308
"49","LME_53",518644984.669883,518644984.669883,518644984.669883,0,0
"50","LME_54",349064279.708964,349064279.708964,349064279.708964,0,0
"51","LME_55",18159027.3310234,18159027.3310234,18159027.3310234,0,0
"52","LME_56",162111885.962335,162111885.962335,162111885.962335,0,0
"53","LME_57",30469606.1774308,30469606.1774308,30469606.1774308,0,0
"54","LME_58",16549548.9380029,16549548.9380029,10842480.9259862,0,-34.4847344987846
"55","LME_59",3418878472.3333,3418878472.3333,2157301456.79232,0,-36.9003176260892
"56","LME_6",1349140300.16408,1349140300.16408,1329036833.55997,0,-1.49009458850737
"57","LME_60",126817867.41426,126817867.41426,125375400.052198,0,-1.13743228101341
"58","LME_61",11241977.2344146,11241977.2344146,11241977.2344146,0,0
"59","LME_62",1017954902.33305,1017954902.33305,1017954902.33305,0,0
"60","LME_63",6657231.13250452,6657231.13250452,6657231.13250452,0,0
"61","LME_64",17748894.2709798,17748894.2709798,17748894.2709798,0,0
"62","LME_65",68267187.874373,68267187.874373,68267187.874373,0,0
"63","LME_66",8165571.85053108,8165571.85053108,7851988.22697227,0,-3.84031430129924
"64","LME_7",8409580262.25603,8409580262.25603,8643819676.71666,0,2.78538770254616
"65","LME_8",2179981748.612,2179981748.612,2179981748.612,0,0
"66","LME_9",4483142576.58228,4483142576.58228,4961830319.70934,0,10.677504338753
"67","LME0_FAO_21",22936964.6095459,22936964.6095459,22641339.8911137,0,-1.28885719389929
"68","LME0_FAO_27",274654512.351512,274654512.351512,213884497.116443,0,-22.1259846469567
"69","LME0_FAO_31",59632346.3924576,59632346.3924576,52265524.9486704,0,-12.3537339874302
"70","LME0_FAO_34",57656778.1054971,57656778.1054971,57656778.1054971,0,0
"71","LME0_FAO_41",2929126.49075148,83451.8316056516,83451.8316056516,3409.96069755899,0
"72","LME0_FAO_47",6.63631401079895e-08,6.63631401079895e-08,6.63631401079895e-08,0,0
"73","LME0_FAO_48",1894498.65112858,1894498.65112858,1894498.65112858,0,0
"74","LME0_FAO_51",87830667.7952779,87830667.7952779,87830667.7952779,0,0
"75","LME0_FAO_57",18140710.0722569,17649511.7179561,17649511.7179561,2.78307050161085,0
"76","LME0_FAO_58",2.50763841979709e-14,2.50763841979709e-14,2.50763841979709e-14,0,0
"77","LME0_FAO_61",376542715.086314,376542715.086314,337199495.425734,0,-10.4485409182759
"78","LME0_FAO_67",43991602.1358956,43991602.1358956,29003622.7785843,0,-34.0700920848745
"79","LME0_FAO_71",154524197.13724,133313689.898764,133313689.898764,15.9102244147488,0
"80","LME0_FAO_77",222058286.197085,200948774.379052,200948774.379052,10.5049219052287,0
"81","LME0_FAO_81",12947163.1907471,12115505.410561,12115505.410561,6.86440847495398,0
"82","LME0_FAO_87",101383352.004922,101383352.004922,101383352.004922,0,0
"83","LME0_FAO_88",2.42028619368284e-14,2.42028619368284e-14,2.42028619368284e-14,0,0
